stationID,LONG,LAT
48806,103.9,21.33
48917,103.96,10.21
48916,103.46,9.28
48802,103.82,22.35
48803,103.96,22.5
56778,102.68,25.01
48930,102.13,19.88
48940,102.52,17.95
56444,98.88,28.45
56492,104.6,28.8
56571,102.26,27.9
56287,103.0,29.98
56684,103.28,26.41
56751,100.18,25.7
56786,103.83,25.58
56977,101.85,22.58
55591,91.13,29.66
56739,98.5,25.01
56951,100.21,23.95
56964,101.4,22.66
56671,102.25,26.65
56357,100.3,29.05
56586,103.71,27.35
56748,99.16,25.11
56763,101.86,25.73
56768,101.53,25.01
56838,97.85,24.01
56886,103.76,24.53
56946,99.4,23.55
56959,100.8,22.0
56969,101.56,21.48
56475,102.51,28.65
56485,103.56,28.28
56533,98.66,27.75
56543,99.7,27.83
56565,101.51,27.43
56643,98.85,26.86
56875,102.55,24.35
56991,104.33,23.61
48008,97.4,25.36
48018,96.33,24.16
48025,94.3,23.2
48042,96.1,21.98
48053,95.83,20.83
48060,99.61,21.3
48062,92.88,20.13
48078,96.46,18.91
48080,94.35,18.46
48108,98.21,14.1
48109,93.36,14.11
48110,98.6,12.43
48112,98.58,9.96
55569,87.63,29.08
55585,90.16,29.43
55598,91.76,29.25
55680,89.6,28.91
55690,91.95,27.98
56986,103.68,22.98
56386,103.75,29.56
56459,101.26,27.93
56548,99.28,27.16
56664,101.26,26.63
56793,104.61,25.78
56856,100.86,24.46
55578,88.88,29.25
55664,87.08,28.63
55773,89.08,27.73
56312,94.46,29.56
56462,101.5,29.0
56651,100.21,26.86
56691,104.28,26.86
56985,103.38,23.38
55696,92.46,28.41
56385,103.33,29.51
56954,99.93,22.56
56966,101.98,23.43
42348,75.8,26.81
42361,78.25,26.23
42369,80.88,26.75
42452,75.85,25.15
42559,77.31,24.65
42647,72.63,23.06
42667,77.35,23.28
42724,91.25,23.88
42737,70.78,22.3
42779,81.9,22.76
42809,88.45,22.65
42867,79.05,21.1
42909,70.36,20.9
43003,72.85,19.11
43014,75.4,19.85
43063,73.85,18.53
43117,75.9,17.66
43128,78.46,17.45
43185,81.13,16.18
43189,82.23,16.95
43192,73.81,15.48
43233,76.43,14.23
43237,77.63,14.58
43245,79.98,14.45
43279,80.18,13.0
43284,74.88,12.91
43295,77.58,12.96
43321,77.05,11.03
43344,78.71,10.76
43371,76.94,8.48
48327,98.98,18.78
48331,100.77,18.77
48353,101.73,17.45
48356,104.13,17.15
48375,98.55,16.66
48378,100.26,16.78
48381,102.46,16.28
48407,104.86,15.25
48431,102.08,14.96
48432,103.5,14.88
48455,100.5,13.73
48456,100.6,13.91
48480,102.12,12.6
48500,99.8,11.8
48935,103.13,19.46
42410,91.58,26.1
42492,85.1,25.6
42634,69.66,23.25
42675,79.95,23.17
42754,75.8,22.71
42840,72.83,21.2
42886,84.08,21.91
42895,86.93,21.5
42971,85.83,20.25
43198,74.61,15.85
43201,75.63,15.41
43213,78.06,15.8
43329,79.76,11.76
43353,76.23,9.93
43369,73.0,8.3
43424,79.83,8.03
43436,81.69,7.71
43467,79.88,6.81
43497,81.13,6.11
42131,75.73,29.16
42165,73.3,28.0
42182,77.19,28.58
42309,94.11,27.23
42314,95.01,27.48
42328,70.91,26.9
42339,73.01,26.3
42379,83.36,26.75
42475,81.73,25.45
42571,80.83,24.56
42591,84.95,24.75
42623,93.9,24.66
42701,85.31,23.31
42798,86.18,22.81
43041,82.03,19.08
43086,79.43,18.76
43110,73.33,16.98
43314,75.78,11.25
43333,92.71,11.66
43473,80.76,6.96
40362,43.48,29.61
40373,46.13,28.31
40848,52.53,29.53
40856,60.88,29.46
40875,56.28,27.18
40898,60.61,25.28
41114,42.8,18.29
41128,44.41,17.61
41140,42.58,16.88
41194,55.33,25.25
41288,58.9,20.66
41316,54.08,17.03
41136,47.15,17.45
41196,55.51,25.33
41256,58.28,23.58
44416,81.61,28.6
44438,83.45,27.51
44454,85.36,27.7
44477,87.35,26.98
42260,77.96,27.15
41685,69.71,29.88
41710,62.75,28.81
41718,70.68,28.65
41739,64.1,26.96
41744,66.63,27.83
41749,68.36,26.25
48035,97.75,22.93
42189,79.4,28.36
41712,64.4,28.88
41715,68.46,28.3
41756,61.8,25.06
41768,69.78,25.51
41780,67.13,24.9
48698,103.98,1.36
48991,104.85,11.55
63671,40.06,1.75
96009,97.17,5.23
96011,95.41,5.51
96035,98.68,3.56
96073,98.88,1.55
96091,104.53,0.91
96109,101.45,0.46
96001,95.31,5.86
96015,96.11,4.25
96075,97.63,1.5
96087,104.11,1.11
96033,98.7,3.8
63471,41.85,9.6
63478,44.58,5.1
42587,84.06,24.05
41170,51.56,25.25
56317,94.21,29.21
55681,90.4,28.96
56582,103.88,27.76
56483,103.95,28.6
55597,91.68,29.03
48601,100.26,5.3
48615,102.28,6.16
48620,100.7,4.21
48647,101.55,3.11
48650,101.65,3.1
48657,103.22,3.62
48665,102.25,2.26
48300,97.83,19.29
48551,99.35,9.12
48565,98.3,8.1
48569,100.43,6.91
48303,99.83,19.88
48328,99.51,18.28
48330,100.16,18.16
48351,100.1,17.61
48354,102.8,17.38
48376,99.11,16.88
48377,99.05,17.23
48379,101.15,16.43
48400,100.16,15.8
48475,99.95,12.58
48477,100.98,12.68
48517,99.18,10.48
48532,98.63,9.97
48567,99.61,7.51
48310,99.9,19.13
48329,99.03,18.56
48357,104.78,17.41
48380,99.53,16.48
48383,104.71,16.53
48403,102.03,15.8
48405,103.68,16.04
48421,98.63,14.75
48425,100.13,14.46
48426,100.61,14.8
48430,101.36,14.05
48450,99.53,14.01
48459,100.98,13.36
48465,100.06,13.15
48550,100.05,9.46
48566,99.05,7.53
48315,100.8,19.11
48374,101.25,16.76
48385,98.86,16.01
48390,103.58,16.33
48413,101.11,15.58
48418,101.2,15.26
48434,102.16,14.71
48436,102.8,14.58
48439,101.7,13.98
48460,100.8,13.16
48461,100.86,12.91
48478,101.35,12.63
48501,102.88,11.76
48561,98.26,8.85
48564,98.4,7.88
48570,100.08,6.65
48580,101.15,6.78
48372,99.8,17.1
48437,103.25,15.23
48440,102.03,13.78
48454,100.56,13.7
48457,100.6,13.38
48463,100.88,13.08
48307,100.88,19.41
48324,99.25,17.63
48556,99.25,8.56
48557,99.51,8.43
41150,50.65,26.26
42706,87.05,23.25
48462,102.58,13.7
48552,99.97,8.47
48568,100.6,7.2
48416,103.68,15.31
48574,100.38,6.8
48583,101.81,6.41
48382,103.06,16.25
41244,55.78,24.23
41246,56.72,24.35
41255,57.53,22.85
41257,57.93,23.3
41258,58.47,23.58
41267,59.4,22.65
41312,53.91,16.9
41314,54.01,17.66
41315,54.08,17.25
40858,50.83,28.98
40872,51.93,27.83
40877,57.7,27.96
40851,55.71,29.46
40853,56.56,29.23
40854,58.4,29.1
40857,50.85,28.95
40859,53.68,28.96
40878,62.33,27.33
40879,60.7,27.2
40883,54.83,26.58
41263,57.3,22.98
40361,40.09,29.78
40394,41.68,27.43
40416,50.16,26.26
40420,49.48,25.28
40437,46.71,24.93
41036,40.55,21.48
41055,41.65,20.29
41061,45.25,20.5
41084,42.67,19.97
41112,42.65,18.23
40568,48.36,29.78
40570,46.66,29.11
40580,47.93,29.28
40581,48.05,29.33
40582,47.98,29.21
40585,48.15,29.03
40588,48.28,29.46
40592,48.06,28.56
40594,48.46,28.5
40596,48.65,28.68
40882,53.98,26.5
40893,57.76,25.63
40897,60.36,25.43
56373,102.85,29.78
56490,103.9,28.95
56389,103.95,29.25
56396,104.76,29.35
56489,103.63,28.23
56595,104.86,27.43
56669,101.68,26.05
56891,104.31,24.85
56994,104.25,23.38
55572,89.1,29.68
52862,101.68,26.95
56395,104.66,29.51
56499,104.78,28.38
56493,104.96,28.85
56331,97.83,29.66
55655,85.96,28.18
56382,103.6,29.73
56394,104.43,29.45
56380,103.36,29.91
56387,103.26,29.23
56342,98.6,29.68
56434,97.46,28.65
56497,104.25,28.06
56585,103.36,27.18
56594,104.05,27.63
56693,104.86,26.58
56598,104.73,27.13
57907,104.9,25.08
56649,99.96,26.11
56673,102.91,26.91
56688,103.16,26.1
56761,101.31,25.71
56767,101.28,25.18
56781,103.26,25.55
56846,99.9,24.6
56851,100.53,25.05
56862,101.6,24.68
56863,102.48,24.93
56867,100.88,23.88
56870,102.16,24.66
56872,102.61,24.95
56876,102.76,24.23
56878,102.75,24.11
56880,103.16,24.91
56881,103.26,24.73
56889,104.18,24.05
56898,102.4,24.18
56944,99.26,23.15
56948,99.45,22.73
56949,99.61,22.33
56952,100.7,23.5
56478,102.43,28.3
56575,102.55,27.36
56675,102.58,26.65
56384,103.48,29.6
56378,102.35,29.23
55593,91.73,29.85
56227,95.76,29.86
56666,101.71,26.58
56498,104.51,28.16
56480,103.55,28.83
56443,99.8,28.93
56383,103.83,29.83
56593,104.91,28.58
56487,103.13,28.33
56792,104.96,25.78
56641,98.86,26.9
56646,99.91,26.53
56652,100.75,26.68
56654,100.18,26.58
56697,104.08,26.21
56742,99.36,25.9
56745,99.95,25.68
56746,99.51,25.46
56752,100.56,25.83
56755,100.48,25.35
56756,100.58,25.48
56757,100.28,25.26
56764,101.43,25.53
56766,101.51,25.33
56772,102.5,25.23
56775,102.43,25.58
56777,102.06,25.15
56785,103.03,25.33
56788,103.66,25.03
56790,104.25,25.66
56836,97.95,24.7
56841,98.68,24.6
56843,99.61,24.83
56869,101.96,24.06
56871,102.61,24.68
56873,102.9,24.66
56879,102.91,24.2
56882,102.8,24.88
56883,103.98,24.83
56961,101.28,23.03
56962,101.71,23.43
56970,102.48,23.7
56975,102.43,23.36
56976,102.75,23.16
56978,102.4,23.0
56987,103.23,22.78
56989,103.95,22.5
56995,104.41,23.03
56567,100.85,27.3
56782,103.55,25.41
56840,98.3,24.8
56842,99.18,24.73
56844,98.58,24.43
56958,100.41,21.91
56984,103.15,23.38
56491,104.55,28.7
56390,104.06,29.66
56578,102.75,27.06
56494,104.15,28.65
56441,99.28,28.71
56674,101.73,26.5
56569,102.18,27.41
56665,101.53,26.91
56584,103.25,27.7
56592,104.51,28.43
56376,102.68,29.35
56473,102.76,28.95
56479,102.85,28.0
56371,102.23,29.91
56670,102.11,26.9
56393,104.85,29.76
56783,103.8,25.5
56835,97.95,24.36
56839,98.96,24.06
56849,99.23,24.15
56885,103.45,24.4
56973,102.83,23.61
56982,103.25,23.7
56996,104.7,23.13
56474,102.16,28.55
55589,90.98,29.3
56645,99.41,26.41
56774,102.41,25.53
56854,100.13,24.45
56950,99.8,23.46
48325,97.93,18.16
48352,102.73,17.86
43404,80.01,9.64
43413,79.91,8.98
43415,80.5,8.75
43418,81.25,8.58
43421,80.41,8.33
43422,80.46,8.11
43441,80.36,7.46
43444,80.63,7.33
43476,80.96,6.81
43479,81.05,6.98
43486,80.4,6.68
43495,80.21,6.03
43466,79.86,6.9
41254,57.63,23.06
43588,72.98,0.48
43577,73.5,1.88
43533,73.16,6.73
43555,73.53,4.19
41268,59.46,22.53
41678,73.25,29.95
41696,66.58,29.03
41697,67.88,29.55
41700,71.78,29.4
41725,68.9,27.66
41746,68.13,26.85
41759,63.48,25.26
41785,68.9,24.63
41216,54.46,24.43
41217,54.65,24.43
41218,55.6,24.26
41404,44.18,15.51
41431,42.98,14.75
41480,45.03,12.83
40691,48.5,29.98
42415,92.78,26.61
42874,81.67,21.22
42933,77.03,20.7
42921,73.78,20.0
43150,83.3,17.7
43226,74.44,14.28
43311,72.73,11.11
43346,79.83,10.91
48921,101.88,21.63
48924,101.46,21.05
48925,102.0,20.68
48926,100.43,20.25
48927,104.23,20.41
48938,101.73,19.23
48941,102.4,18.46
48944,102.47,18.12
48946,104.65,17.38
48947,104.65,16.54
41198,56.33,25.1
48097,96.16,16.76
48010,94.91,24.86
48057,97.05,20.78
48071,93.55,19.41
48077,95.21,18.79
48094,94.76,16.76
48099,97.66,16.75
48019,97.2,24.26
48037,95.13,22.1
48048,94.91,21.2
48075,97.21,19.68
48087,95.41,17.66
48103,97.61,16.5
40405,43.76,26.3
41891,91.88,24.9
41923,90.38,23.76
41936,89.16,23.18
41978,91.81,22.26
41992,91.93,21.43
41943,91.41,23.03
41950,90.36,22.75
41907,89.05,24.13
41883,89.36,24.85
41859,89.23,25.73
44404,80.58,29.3
44424,82.16,29.28
44434,84.0,28.21
44462,86.5,27.3
44474,87.66,27.35
44478,87.26,26.48
48001,97.41,27.33
48004,95.7,26.0
48020,94.41,23.63
48045,93.95,21.38
48095,95.65,16.73
43081,78.1,18.66
43105,84.13,18.33
43121,76.85,17.35
43181,80.8,16.53
43221,80.08,15.5
43225,74.13,14.78
43303,79.15,12.91
43325,78.16,11.65
43347,79.85,10.76
43360,78.08,9.83
43363,79.3,9.26
43352,76.41,9.55
43317,76.73,11.4
43376,77.75,8.73
43177,79.55,16.54
43271,78.5,13.53
42398,88.31,26.63
43161,75.71,16.81
43169,77.35,16.2
43205,76.85,15.15
43287,75.73,12.41
43291,76.69,12.3
43136,80.63,17.55
43087,79.56,18.01
41407,45.33,15.43
41764,68.41,25.38
40377,45.51,27.91
40417,49.81,26.45
40435,44.4,24.5
40845,50.26,29.26
40889,54.48,25.86
40890,54.83,25.83
41184,55.93,25.61
41466,44.13,13.68
41477,43.28,13.25
41242,56.25,25.61
41240,56.23,26.18
43450,79.88,7.16
48962,103.2,13.1
48966,103.85,13.36
48968,104.18,12.51
48983,103.48,10.63
48985,104.21,10.61
44449,84.98,27.16
63125,43.15,11.55
63170,44.08,9.5
63150,43.18,9.95
43241,78.83,14.48
41915,91.73,24.3
41929,89.85,23.6
41960,90.33,22.33
41926,88.81,23.65
41253,57.41,23.4
41262,56.48,22.33
48600,99.73,6.33
48602,100.38,5.46
48603,100.4,6.2
48618,103.1,5.38
48625,101.1,4.56
48632,101.36,4.46
48679,103.66,1.63
41265,58.5,22.73
48674,103.83,2.45
63160,45.01,10.41
41275,57.05,21.36
